env,feature_mode,model_type,rf_rmse,N_AP,grid_m,T_used,feat_dim,causal,epochs,roll_windows
corridor,rss,gcn,1.8666704893112183,4,0.6,60,20,True,500,"[5, 10, 20]"
corridor,rtt,gcn,0.6043515205383301,4,0.6,60,20,True,500,"[5, 10, 20]"
corridor,both,gcn,1.076911449432373,4,0.6,60,38,True,500,"[5, 10, 20]"
corridor,rss,tcn,2.33821702003479,4,0.6,60,20,True,500,"[5, 10, 20]"
corridor,rtt,tcn,0.8673737645149231,4,0.6,60,20,True,500,"[5, 10, 20]"
corridor,both,tcn,2.233189821243286,4,0.6,60,38,True,500,"[5, 10, 20]"
corridor,rss,both,1.9594687223434448,4,0.6,60,20,True,500,"[5, 10, 20]"
corridor,rtt,both,0.641394853591919,4,0.6,60,20,True,500,"[5, 10, 20]"
corridor,both,both,1.0630028247833252,4,0.6,60,38,True,500,"[5, 10, 20]"
office,rss,gcn,1.4897692203521729,5,0.6,60,20,True,500,"[5, 10, 20]"
office,rtt,gcn,0.6595180034637451,5,0.6,60,20,True,500,"[5, 10, 20]"
office,both,gcn,0.8599263429641724,5,0.6,60,38,True,500,"[5, 10, 20]"
office,rss,tcn,1.4646553993225098,5,0.6,60,20,True,500,"[5, 10, 20]"
office,rtt,tcn,0.579246461391449,5,0.6,60,20,True,500,"[5, 10, 20]"
office,both,tcn,0.9842650294303894,5,0.6,60,38,True,500,"[5, 10, 20]"
office,rss,both,1.463802456855774,5,0.6,60,20,True,500,"[5, 10, 20]"
office,rtt,both,0.6518189311027527,5,0.6,60,20,True,500,"[5, 10, 20]"
office,both,both,0.6371111273765564,5,0.6,60,38,True,500,"[5, 10, 20]"
lecture_theatre,rss,gcn,2.0185298919677734,5,0.6,60,20,True,500,"[5, 10, 20]"
lecture_theatre,rtt,gcn,0.43406468629837036,5,0.6,60,20,True,500,"[5, 10, 20]"
lecture_theatre,both,gcn,0.7778639197349548,5,0.6,60,38,True,500,"[5, 10, 20]"
lecture_theatre,rss,tcn,1.9613194465637207,5,0.6,60,20,True,500,"[5, 10, 20]"
lecture_theatre,rtt,tcn,0.44688549637794495,5,0.6,60,20,True,500,"[5, 10, 20]"
lecture_theatre,both,tcn,0.6864398121833801,5,0.6,60,38,True,500,"[5, 10, 20]"
lecture_theatre,rss,both,2.074713945388794,5,0.6,60,20,True,500,"[5, 10, 20]"
lecture_theatre,rtt,both,0.4689604938030243,5,0.6,60,20,True,500,"[5, 10, 20]"
lecture_theatre,both,both,0.49645349383354187,5,0.6,60,38,True,500,"[5, 10, 20]"
building,rss,gcn,2.1931707859039307,13,0.6,120,20,True,500,"[5, 10, 20]"
building,rtt,gcn,1.2853144407272339,13,0.6,120,20,True,500,"[5, 10, 20]"
building,both,gcn,1.277700662612915,13,0.6,120,38,True,500,"[5, 10, 20]"
building,rss,tcn,2.171417713165283,13,0.6,120,20,True,500,"[5, 10, 20]"
building,rtt,tcn,1.7644366025924683,13,0.6,120,20,True,500,"[5, 10, 20]"
building,both,tcn,1.5268033742904663,13,0.6,120,38,True,500,"[5, 10, 20]"
building,rss,both,1.921701192855835,13,0.6,120,20,True,500,"[5, 10, 20]"
building,rtt,both,0.9511057138442993,13,0.6,120,20,True,500,"[5, 10, 20]"
building,both,both,1.0480214357376099,13,0.6,120,38,True,500,"[5, 10, 20]"
