env,feature_mode,model_type,rf_rmse,N_AP,grid_m,T_used,feat_dim,causal,epochs,roll_windows
corridor,rss,gcn,1.643161654472351,4,0.6,60,20,True,1500,"[5, 10, 20]"
corridor,rtt,gcn,0.5856200456619263,4,0.6,60,20,True,1500,"[5, 10, 20]"
corridor,both,gcn,0.7199398875236511,4,0.6,60,38,True,1500,"[5, 10, 20]"
corridor,rss,tcn,1.9525651931762695,4,0.6,60,20,True,1500,"[5, 10, 20]"
corridor,rtt,tcn,0.7728923559188843,4,0.6,60,20,True,1500,"[5, 10, 20]"
corridor,both,tcn,0.913358211517334,4,0.6,60,38,True,1500,"[5, 10, 20]"
corridor,rss,both,1.230004906654358,4,0.6,60,20,True,1500,"[5, 10, 20]"
corridor,rtt,both,0.6634767651557922,4,0.6,60,20,True,1500,"[5, 10, 20]"
corridor,both,both,0.5286687612533569,4,0.6,60,38,True,1500,"[5, 10, 20]"
office,rss,gcn,1.2414110898971558,5,0.6,60,20,True,1500,"[5, 10, 20]"
office,rtt,gcn,0.6219141483306885,5,0.6,60,20,True,1500,"[5, 10, 20]"
office,both,gcn,0.8026009202003479,5,0.6,60,38,True,1500,"[5, 10, 20]"
office,rss,tcn,1.4355005025863647,5,0.6,60,20,True,1500,"[5, 10, 20]"
office,rtt,tcn,0.703865110874176,5,0.6,60,20,True,1500,"[5, 10, 20]"
office,both,tcn,0.7887564897537231,5,0.6,60,38,True,1500,"[5, 10, 20]"
office,rss,both,1.2032262086868286,5,0.6,60,20,True,1500,"[5, 10, 20]"
office,rtt,both,0.6491827368736267,5,0.6,60,20,True,1500,"[5, 10, 20]"
office,both,both,0.5598061084747314,5,0.6,60,38,True,1500,"[5, 10, 20]"
lecture_theatre,rss,gcn,2.1410391330718994,5,0.6,60,20,True,1500,"[5, 10, 20]"
lecture_theatre,rtt,gcn,0.42624208331108093,5,0.6,60,20,True,1500,"[5, 10, 20]"
lecture_theatre,both,gcn,0.5709773302078247,5,0.6,60,38,True,1500,"[5, 10, 20]"
lecture_theatre,rss,tcn,2.0751750469207764,5,0.6,60,20,True,1500,"[5, 10, 20]"
lecture_theatre,rtt,tcn,0.4095424711704254,5,0.6,60,20,True,1500,"[5, 10, 20]"
lecture_theatre,both,tcn,0.5129899978637695,5,0.6,60,38,True,1500,"[5, 10, 20]"
lecture_theatre,rss,both,2.170144557952881,5,0.6,60,20,True,1500,"[5, 10, 20]"
lecture_theatre,rtt,both,0.44851577281951904,5,0.6,60,20,True,1500,"[5, 10, 20]"
lecture_theatre,both,both,0.5008190870285034,5,0.6,60,38,True,1500,"[5, 10, 20]"
building,rss,gcn,1.615214467048645,13,0.6,120,20,True,1500,"[5, 10, 20]"
building,rtt,gcn,1.0086407661437988,13,0.6,120,20,True,1500,"[5, 10, 20]"
building,both,gcn,0.877214789390564,13,0.6,120,38,True,1500,"[5, 10, 20]"
building,rss,tcn,1.8500860929489136,13,0.6,120,20,True,1500,"[5, 10, 20]"
building,rtt,tcn,0.7568302154541016,13,0.6,120,20,True,1500,"[5, 10, 20]"
building,both,tcn,1.017046570777893,13,0.6,120,38,True,1500,"[5, 10, 20]"
building,rss,both,1.5788570642471313,13,0.6,120,20,True,1500,"[5, 10, 20]"
building,rtt,both,0.731151819229126,13,0.6,120,20,True,1500,"[5, 10, 20]"
building,both,both,0.6602432727813721,13,0.6,120,38,True,1500,"[5, 10, 20]"
