env,feature_mode,model_type,rf_rmse,N_AP,grid_m,T_used,feat_dim,causal,epochs,roll_windows
corridor,rss,gcn,1.6505563259124756,4,0.6,60,20,True,2000,"[5, 10, 20]"
corridor,rtt,gcn,0.6300997138023376,4,0.6,60,20,True,2000,"[5, 10, 20]"
corridor,both,gcn,0.699384868144989,4,0.6,60,38,True,2000,"[5, 10, 20]"
corridor,rss,tcn,1.9233636856079102,4,0.6,60,20,True,2000,"[5, 10, 20]"
corridor,rtt,tcn,0.7035765051841736,4,0.6,60,20,True,2000,"[5, 10, 20]"
corridor,both,tcn,1.059888482093811,4,0.6,60,38,True,2000,"[5, 10, 20]"
corridor,rss,both,1.239766001701355,4,0.6,60,20,True,2000,"[5, 10, 20]"
corridor,rtt,both,0.6022787690162659,4,0.6,60,20,True,2000,"[5, 10, 20]"
corridor,both,both,0.5462934374809265,4,0.6,60,38,True,2000,"[5, 10, 20]"
office,rss,gcn,1.2285480499267578,5,0.6,60,20,True,2000,"[5, 10, 20]"
office,rtt,gcn,0.5946969985961914,5,0.6,60,20,True,2000,"[5, 10, 20]"
office,both,gcn,0.7609962224960327,5,0.6,60,38,True,2000,"[5, 10, 20]"
office,rss,tcn,1.3020747900009155,5,0.6,60,20,True,2000,"[5, 10, 20]"
office,rtt,tcn,0.7145557999610901,5,0.6,60,20,True,2000,"[5, 10, 20]"
office,both,tcn,0.8098906874656677,5,0.6,60,38,True,2000,"[5, 10, 20]"
office,rss,both,1.1594187021255493,5,0.6,60,20,True,2000,"[5, 10, 20]"
office,rtt,both,0.7181721925735474,5,0.6,60,20,True,2000,"[5, 10, 20]"
office,both,both,0.6036876440048218,5,0.6,60,38,True,2000,"[5, 10, 20]"
lecture_theatre,rss,gcn,2.0327327251434326,5,0.6,60,20,True,2000,"[5, 10, 20]"
lecture_theatre,rtt,gcn,0.389192670583725,5,0.6,60,20,True,2000,"[5, 10, 20]"
lecture_theatre,both,gcn,0.5565173029899597,5,0.6,60,38,True,2000,"[5, 10, 20]"
lecture_theatre,rss,tcn,2.177764654159546,5,0.6,60,20,True,2000,"[5, 10, 20]"
lecture_theatre,rtt,tcn,0.3999185264110565,5,0.6,60,20,True,2000,"[5, 10, 20]"
lecture_theatre,both,tcn,0.5198549628257751,5,0.6,60,38,True,2000,"[5, 10, 20]"
lecture_theatre,rss,both,2.299839973449707,5,0.6,60,20,True,2000,"[5, 10, 20]"
lecture_theatre,rtt,both,0.45503902435302734,5,0.6,60,20,True,2000,"[5, 10, 20]"
lecture_theatre,both,both,0.5241353511810303,5,0.6,60,38,True,2000,"[5, 10, 20]"
building,rss,gcn,1.6372283697128296,13,0.6,120,20,True,2000,"[5, 10, 20]"
building,rtt,gcn,0.8096509575843811,13,0.6,120,20,True,2000,"[5, 10, 20]"
building,both,gcn,0.9165870547294617,13,0.6,120,38,True,2000,"[5, 10, 20]"
building,rss,tcn,1.5895016193389893,13,0.6,120,20,True,2000,"[5, 10, 20]"
building,rtt,tcn,0.7242580056190491,13,0.6,120,20,True,2000,"[5, 10, 20]"
building,both,tcn,0.9543901681900024,13,0.6,120,38,True,2000,"[5, 10, 20]"
building,rss,both,1.423865556716919,13,0.6,120,20,True,2000,"[5, 10, 20]"
building,rtt,both,0.7056941390037537,13,0.6,120,20,True,2000,"[5, 10, 20]"
building,both,both,0.8380314707756042,13,0.6,120,38,True,2000,"[5, 10, 20]"
