env,model_type,feature_mode,rf_rmse,cpu_ms_per_seq,cpu_ms_per_scan,epochs,roll_windows
building,both,both,0.6602432727813721,2.5374140962958336,0.021145117469131947,1500,"[5, 10, 20]"
building,gcn,both,0.877214789390564,1.6435418277978897,0.013696181898315748,1500,"[5, 10, 20]"
building,tcn,rtt,0.7568302154541016,1.1556425131857395,0.009630354276547829,1500,"[5, 10, 20]"
corridor,both,both,0.5286687612533569,1.3134255446493626,0.021890425744156044,1500,"[5, 10, 20]"
corridor,gcn,rtt,0.5856200456619263,0.5344129726290703,0.00890688287715117,1500,"[5, 10, 20]"
corridor,tcn,rtt,0.7728923559188843,0.8953272923827171,0.014922121539711952,1500,"[5, 10, 20]"
lecture_theatre,both,rtt,0.44851577281951904,1.3399834744632244,0.022333057907720406,1500,"[5, 10, 20]"
lecture_theatre,gcn,rtt,0.42624208331108093,0.5657055042684078,0.009428425071140131,1500,"[5, 10, 20]"
lecture_theatre,tcn,rtt,0.4095424711704254,0.8866589888930321,0.014777649814883867,1500,"[5, 10, 20]"
office,both,both,0.5598061084747314,1.3626662269234657,0.022711103782057762,1500,"[5, 10, 20]"
office,gcn,rtt,0.6219141483306885,0.5657775141298771,0.009429625235497952,1500,"[5, 10, 20]"
office,tcn,rtt,0.703865110874176,0.884507168084383,0.014741786134739717,1500,"[5, 10, 20]"
